Name,Price,Features,Ratings,Sentiments,Scaled_Ratings,Cluster
ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme - (16 GB/5...,"₹39,990","7 Inch, Pure White, 1.7 kg",4.4,Positive,0.8800000000000001,1
SpinBot Thumb & Finger Sleeves 3 Pair(6 Pieces)For Mobi...,₹368,"Black, Green, For iOS, Android",4.0,Positive,0.8,0
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 ...,"₹54,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.3,Positive,0.86,1
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive,0.86,1
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive,0.8800000000000001,1
ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16...,"₹67,990","15.6 Inch, Mecha Gray, 2.20 Kg",4.4,Positive,0.8800000000000001,1
HP Victus gaming AMD Ryzen 5 Hexa Core 5600H - (8 GB/51...,"₹49,990","15.6 inch, Performance Blue, 2.37 kg",4.2,Positive,0.8400000000000001,0
MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 ...,"₹64,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.3,Positive,0.86,1
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹60,990","15.6 inch, Luna Grey, 2.38 kg, With MS Office",4.3,Positive,0.86,1
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive,0.86,1
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive,0.8,0
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹47,990","15.6 Inch, Graphite Black, 2.30 kg",4.3,Positive,0.86,1
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹83,990","15.6 Inch, Mecha Gray, 2.20 Kg",4.5,Positive,0.9,1
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive,0.9199999999999999,1
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹49,990","15.6 inch, Graphite Black, 2.30 Kg, With MS Office",3.8,Negative,0.76,0
