Name,Price,Features,Ratings,Sentiments
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive
ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16...,"₹67,990","15.6 Inch, Mecha Gray, 2.20 Kg",4.4,Positive
HP Victus gaming AMD Ryzen 5 Hexa Core 5600H - (8 GB/51...,"₹49,990","15.6 inch, Performance Blue, 2.37 kg",4.2,Positive
MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 ...,"₹64,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.3,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹60,990","15.6 inch, Luna Grey, 2.38 kg, With MS Office",4.3,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹47,990","15.6 Inch, Graphite Black, 2.30 kg",4.3,Positive
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹83,990","15.6 Inch, Mecha Gray, 2.20 Kg",4.5,Positive
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹49,990","15.6 inch, Graphite Black, 2.30 Kg, With MS Office",3.8,Negative
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (16 GB/512 ...,"₹86,990","15.6 inch, Luna Grey, 2.38 kg, With MS Office",4.1,Positive
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 ...,"₹99,990","15.6 inch, Luna Grey, 2.38 Kg, With MS Office",4.3,Positive
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/1 TB...,"₹77,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.9,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 ...,"₹73,990","15.6 inch, Luna Grey, 2.38 Kg, With MS Office",4.3,Positive
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4,Positive
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB...,"₹96,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive
MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB...,"₹62,990","15.6 Inch, Cosmos Grey, 1.86 Kg",4.1,Positive
Colorful Evol P15 Intel Core i5 12th Gen 12500H - (16 G...,"₹59,990","15.6 Inch, Steel Grey, 2.4 Kg",4.5,Positive
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8,Negative
ASUS AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/W...,"₹60,990","15.6 Inch, Graphite Black, 2.30 Kg",3.3,Negative
Colorful P15 Intel Core i7 13th Gen 13620H - (16 GB/512...,"₹83,990","15.6 Inch, Gray, 2.4 Kg",4.5,Positive
Colorful P15 Intel Core i7 12th Gen 12650H - (16 GB/512...,"₹73,990","15.6 Inch, Gray, 2.4 Kg",4.3,Positive
MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/1 TB...,"₹89,790","15.6 Inch, Cosmos Gray, 1.86 Kg",3.8,Negative
Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 ...,"₹94,990","16 Inch, Obsidian Black, 2.6 Kg",4.4,Positive
ASUS TUF A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹59,990","15.6 inch, Graphite Black, 2.2 kg, With MS Office",3.0,Neutral
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB...,"₹1,12,990","15.6 Inch, Storm Grey, 2.32 Kg, With MS Office",4.6,Positive
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (8 G...,"₹53,990","15.6 Inch, Graphite Black, 2.30 Kg",3.8,Negative
HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD...,"₹1,16,990","16.1 inch, Shadow Black, 2.32 Kg, With MS Office",4.2,Positive
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (1...,"₹1,39,990","16 Inch, Cosmos Gray, 2.5 Kg",4.6,Positive
HP Victus AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB ...,"₹87,990","15.6 Inch, Performance Blue, 2.29 Kg",4.0,Positive
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹94,990","15.6 Inch, Mecha Gray, 2.20 Kg, With MS Office",4.7,Positive
HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SS...,"₹1,34,990","16.1 inch, Shadow Black, 2.32 Kg, With MS Office",4.0,Positive
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 ...,"₹1,04,990","16 Inch, Obsidian Black, 2.6 Kg",4.4,Positive
MSI Katana 17 Intel Core i7 13th Gen 13620H - (16 GB/1 ...,"₹97,990","17.3 Inch, Black, 2.6 Kg",4.5,Positive
HP Victus Intel Core i7 13th Gen 13700H - (16 GB/512 GB...,"₹1,07,999","15.6 Inch, Performance Blue, 2.37 Kg, With MS Office",4.5,Positive
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 ...,"₹94,990","15.6 inch, Luna Grey, 2.38 Kg, With MS Office",4.3,Positive
"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 1...","₹69,990","16 Inch, Cool Silver, 1.80 Kg, With MS Office",4.3,Positive
Colorful XS Series Intel Core i5 12th Gen 12500H - (16 ...,"₹47,990","15.6 Inch, Grey, 1.99 Kg",4.4,Positive
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4.2,Positive
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive
"SpinBot BattleMods X1 Gaming Trigger For PUBG,BGMI,COD,...",₹449,"Black, For Android, iOS",5.0,Positive
Colorful Evol P15 Intel Core i7 13th Gen 13620H - (16 G...,"₹83,990","15.6 Inch, Mist White, 2.4 Kg",4.5,Positive
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹49,990","15.6 inch, Graphite Black, 2.30 Kg, With MS Office",3.8,Negative
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (1...,"₹99,490","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.0,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 1470...,"₹1,34,990","16 Inch, Abyssal Black, 2.8 Kg",4.5,Positive
Lenovo IdeaPad Gaming 3 Intel Core i7 12th Gen 12700H -...,"₹97,990","16 Inch, Onyx Grey, 2.6 Kg, With MS Office",4.5,Positive
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive
MSI Sword 16 HX Intel Core i9 13th Gen 13980HX - (32 GB...,"₹1,32,990","16 Inch, Cosmos Gray, 2.3 Kg, With MS Office",4.0,Positive
MSI Thin 15 Intel Core i5 12th Gen 13420H - (8 GB/512 G...,"₹53,990","15.6 Inch, Cosmos Grey, 1.86 Kg",0.0,Negative
Acer Aspire 7 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 ...,"₹59,500","15.6 Inch, Black, 2.15 kg",4.4,Positive
ASUS TUF Gaming A16 Advantage Edition AMD Ryzen 7 Octa ...,"₹79,990","16 inch, Off Black, 2.20 Kg",5.0,Positive
MOBIKAMA Combo Pack of Touch smoothly Run Finger Sleeve...,₹170,"Multicolor, For Mac OS",3.9,Negative
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4,Positive
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB...,"₹96,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive
SpinBot Super Conductive Silver-Cloth Mobile Gaming Fin...,₹299,"Grey, For Android, iOS",3.6,Negative
SpinBot BattleMods Argo Six Finger Claw Control with 4 ...,₹784,"Black, For Android, iOS",4.0,Positive
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8,Negative
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB...,"₹1,12,990","15.6 Inch, Storm Grey, 2.32 Kg, With MS Office",4.6,Positive
GIGABYTE G Series Intel Core i5 13th Gen 13500H - (16 G...,"₹72,990","15.6 inch, Black, 2.08 Kg",5.0,Positive
